acc f1 gmulti gmacro
0.717530390275 0.67740311966 0.638438175498 0.837622406473
0.73328 0.72521984705 0.70320118188 0.864654584368
0.726516242599 0.697394986225 0.715582591182 0.853969782195
0.725992317542 0.69002474078 0.65537830754 0.842644588926
0.726981585268 0.688908840842 0.631413155754 0.839588874601
0.729573854534 0.683760334601 0.643033775165 0.840928729305
0.730565795801 0.700530295171 0.691087631904 0.860983726933
0.727506014435 0.687633835125 0.657855905304 0.844607710076
0.725858196984 0.686492323601 0.619259075234 0.838399613583
0.724281816723 0.677235265097 0.614240735691 0.837872950631
