-1 0 1345261
-1 1 1340389
-1 2 1335787
-1 3 1332537
-1 -1 1330301
0 0 1352359
0 1 1347487
0 2 1342885
0 3 1339607
0 -1 1337399
1 0 1370133
1 1 1365261
1 2 1360639
1 3 1357381
1 -1 1355173
2 0 1401771
2 1 1396847
2 2 1392277
2 3 1389019
2 -1 1386811
3 0 1450985
3 1 1446121
3 2 1441551
3 3 1438293
3 -1 1436085
