acc f1 gmulti gmacro
0.5357142857142857 0.43762237762237755 0.5779457834099514 0.6740948643204419
0.5666666666666667 0.5793808049535604 0.5630028152118295 0.7284908465231736
0.7058823529411765 0.6799794941900206 0.6721011501597346 0.7950223596546672
0.6428571428571429 0.5832378148167623 0.5333470949025243 0.7469762218250486
0.6101694915254238 0.5914978031346318 0.5898945623563899 0.7362723902682342
0.6545454545454545 0.67060433639381 0.6863804867067703 0.8017160601578233
0.7307692307692307 0.7012393162393163 0.6644069776741282 0.7956011370848839
0.5535714285714286 0.5097099069512863 0.46997208049093825 0.6753712745304296
0.6122448979591837 0.4873995569647743 0.4443135954147438 0.6696979020630273
0.6071428571428571 0.5272283272283274 0.46288359244041866 0.7021471826341689
