acc f1 gmulti gmacro
0.9119170984455959 0.8947043450665193 0.899932496515696 0.9253586879769241
0.8992248062015504 0.88007444086971 0.8977006617789762 0.9249080221419557
0.8911917098445595 0.8662088942688856 0.8683954656292977 0.9060008082617403
0.8932291666666666 0.86747542997543 0.8753620424561521 0.9100598194138089
0.9175257731958762 0.8979766801773584 0.9008945831831936 0.9282899017456965
0.8880208333333334 0.8587785521989079 0.8732756911049755 0.9085581017464955
0.8865435356200527 0.8625307990473078 0.8748907847932443 0.907705256845474
0.8842105263157894 0.869471383632102 0.8937683894423383 0.9184340786206162
0.8868421052631579 0.8526607258203458 0.8620478178962299 0.9029458723009042
0.883289124668435 0.8641246356811866 0.8858038848464487 0.9138677709616795
