acc f1 gmulti gmacro
0.43555555555555553 0.42790635124396353 0.41883273779110913 0.5591351346190222
0.39111111111111113 0.3891241988656751 0.3824836462467688 0.5215740658553103
0.3466666666666667 0.3388853616919964 0.3305149031861934 0.48313789151982506
0.26666666666666666 0.26215882268950264 0.2489616189564609 0.4109609335312651
0.4711111111111111 0.47216995545263024 0.47094122535066696 0.5886666247221158
0.37777777777777777 0.3768580720676529 0.3751554910733807 0.5101440125888442
0.38666666666666666 0.36585070232161154 0.33737306612069967 0.5177730090386027
0.4222222222222222 0.42002442002442003 0.4167004417065625 0.5479479113750201
0.37777777777777777 0.3122076416067668 0.15959775502315837 0.5101440125888443
0.45045045045045046 0.44969645894782834 0.4463550708964603 0.5715575468670955
