acc f1 gmulti gmacro
0.5747126436781609 0.42994731366824396 0.3781875877094912 0.5741286729064811
0.6265060240963856 0.43816242089325214 0.3071459913176073 0.6133141208070473
0.6477272727272727 0.511430785624334 0.5151606624760696 0.6784598669653533
0.717948717948718 0.5499999999999999 0.4697404118280106 0.6648324736086038
0.7108433734939759 0.5775661375661375 0.5593574194288469 0.7460585791534986
0.6875 0.5409472794809254 0.5481545667863486 0.6948353334988756
0.6419753086419753 0.5236565789561182 0.5142249768052165 0.6767573382283794
0.7108433734939759 0.5692055692055692 0.4971346075717675 0.6992363698536608
0.7407407407407407 0.5590994721429504 0.5391708949125132 0.7074758182126203
0.6707317073170732 0.504051504051504 0.4648485706808201 0.6687529080384352
