acc f1 gmulti gmacro
1.0 1.0 1.0 1.0
0.995 0.9927822284144123 0.9979123112553974 0.9979977152485724
1.0 1.0 1.0 1.0
0.9875 0.9762732057930252 0.9841648807311856 0.9881694886409711
0.9974811083123426 0.9963630867935199 0.9989572463761541 0.9989946698817749
0.9974683544303797 0.9963598008192901 0.9989506812860107 0.9989885608735736
1.0 1.0 1.0 1.0
0.9949238578680203 0.992772308173152 0.9978925121936237 0.9979709554384892
0.989821882951654 0.9727913015254788 0.98493140213772 0.9906416390693713
0.9974554707379135 0.9962988038817423 0.9989473676430749 0.9989854784059741
