acc f1 gmulti gmacro
0.9130434782608695 0.8974704212640043 0.9022615026305716 0.9269586520815665
0.8997429305912596 0.881247845987827 0.8983047673864519 0.9253747344103458
0.8917525773195877 0.8672474837888372 0.8696485194112676 0.9067711179314606
0.8917525773195877 0.8675628206350531 0.8755016790816736 0.9099099014458836
0.9175257731958762 0.8979766801773584 0.9008945831831936 0.9282899017456965
0.8863049095607235 0.8584638728968624 0.8731345328238282 0.9081342652771819
0.8851174934725848 0.8627568482033543 0.8755603170007921 0.907813737619188
0.8825065274151436 0.8672735167845822 0.8913377300920697 0.9169931991697743
0.8851174934725848 0.8513325811861128 0.8611127770348336 0.9021761212271221
0.8842105263157894 0.8651479667873111 0.8865699611606801 0.9144960333712076
