acc f1 gmulti gmacro
0.5522388059701493 0.4783977781689452 0.5970739204435864 0.6810440876407207
0.5757575757575758 0.5788888888888889 0.56175997126373 0.7207383502370273
0.7230769230769231 0.7011764705882353 0.6692571786391632 0.8010645515904169
0.6461538461538462 0.5884615384615384 0.5416447533412198 0.7528940751090539
0.5846153846153846 0.5685636856368562 0.56175997126373 0.7185880730977809
0.65625 0.6697845143362385 0.670952692997854 0.7947790981590391
0.7258064516129032 0.7183396995161702 0.7117285086390428 0.8157274967993682
0.5645161290322581 0.5393874226132291 0.5196120507836032 0.6921850848675148
0.6129032258064516 0.5477607082112714 0.5196120507836032 0.7130544745483822
0.6129032258064516 0.5270767381286315 0.459850143077007 0.7038311430741155
