acc f1 gmulti gmacro
0.9813664596273292 0.9797840504677261 0.9801288226853043 0.9877931922412673
0.984375 0.9853570499817964 0.9837732149477689 0.9899197442070972
0.98125 0.9797169130339265 0.9814196635373568 0.9883885173089414
0.96875 0.9686472542505374 0.9621447105361867 0.9770272545879793
0.996875 0.9969256474519632 0.9961976084741603 0.9976866055160679
0.9874213836477987 0.9884074654888533 0.9861044572475705 0.9914469435455122
0.9779874213836478 0.97627672411564 0.9757739968275221 0.9852889238854107
0.9810725552050473 0.9725638667540435 0.9665621470248924 0.9810676545437361
0.9842271293375394 0.9852762285594023 0.9837453286385527 0.9898694448765535
0.9873817034700315 0.9846318672070792 0.9788157910636721 0.9878189367634634
