acc f1 gmulti gmacro
0.9838492597577388 0.9808839191868415 0.9864220764201086 0.991993815053645
0.9721059972105998 0.9646572979906313 0.9694442814525941 0.982821398139355
0.9747003994673769 0.967267075606614 0.9703455784651035 0.9834176527102506
0.9707057256990679 0.9630722927574039 0.9610578647610715 0.9784252057897972
0.9823129251700681 0.9791555995620308 0.9755692800394139 0.9864765204316914
0.9776536312849162 0.9707990988603233 0.969960197903545 0.9834194589688042
0.9781121751025992 0.9733247272806318 0.9758019068534102 0.9862706431795747
0.9689189189189189 0.9646202437018764 0.9709616966706681 0.983301215948805
0.9741496598639455 0.9660255668805722 0.9711410737930388 0.9837252972522176
0.9780521262002744 0.970884628102911 0.9764841705984703 0.986657086937766
