acc f1 gmulti gmacro
0.9843260188087775 0.9819877748670318 0.9824248603487391 0.9893765804789965
0.9871794871794872 0.9882497091405373 0.9858987800686609 0.9913059228597699
0.9811912225705329 0.9797030717245386 0.9813924947068321 0.9883649984591887
0.9777777777777777 0.9760080711999283 0.9703730688158049 0.9823850589237737
0.9968454258675079 0.9969118061425754 0.9961976084741603 0.9976829582208476
0.9873817034700315 0.9883936241794654 0.9860771587269948 0.9914258312753274
0.9778481012658228 0.9762200267378937 0.9756633397599414 0.9852086946411354
0.9839228295819936 0.9780701011277598 0.9757877021670199 0.9859145749495811
0.9871794871794872 0.9875027567243138 0.9860205786739066 0.9914308505094761
0.9873015873015873 0.9845768219998025 0.9788157910636721 0.9878115699408957
