acc f1 gmulti gmacro
0.7292882147024504 0.6570307249205861 0.6091564293405066 0.8113004960146109
0.7221570926143025 0.6811073457501295 0.5981600241626338 0.8280415351134719
0.7312206572769953 0.7088522744561397 0.6401858378381563 0.8363898936675735
0.700352526439483 0.6780229212983933 0.5726606985974642 0.82181750161615
0.7665094339622641 0.7292327491834344 0.6846488191900241 0.8560643781742909
0.7372781065088757 0.7152457779429531 0.6582668213519448 0.8429759884894158
0.7360285374554102 0.7148894418910186 0.6380154640662747 0.846199554919786
0.7297619047619047 0.689917596617737 0.6158456767136151 0.8334707193499101
0.7234803337306317 0.6592249184704759 0.5101604215577606 0.818789724386643
0.7476076555023924 0.6941048605160829 0.61603786887343 0.8367274711304014
