acc f1 gmulti gmacro
0.736404350608 0.756913998972 0.700302756541 0.860946529912
0.73504 0.763358309281 0.697613936242 0.8569155616
0.739318290927 0.746002645512 0.654866332526 0.853671031377
0.748399487836 0.750071517857 0.688014184895 0.860265679194
0.742033626902 0.712896104881 0.614243993968 0.836121034144
0.735821851971 0.742949468603 0.675693383899 0.852598582466
0.743067799327 0.764468323221 0.711796680925 0.863740216577
0.735846030473 0.741167040278 0.685569547667 0.850635831536
0.734680782804 0.746511041805 0.670839949709 0.852749853402
0.74241694752 0.780561719848 0.731847138187 0.871519955543
